Name,Area
2B,VN;KR
365daband,VN;KR
Bang Chan,VN;KR
Chow Mane,VN;KR
Haisam,VN;Latin
Min,VN;KR
Rin',VN;JP
SooBin,VN;KR
Uni5,VN;KR
Zero 9,VN;KR
50 Cent,JP;USUK
Asuka Ota,JP;Latin
Charan-Po-Rantan,JP;KR
Chocolat,JP;KR
Citrus,JP;KR
Coco,JP;KR
Dreamgate,JP;KR
Emperor Peeter 1.,JP;EU
Iggy Pop,JP;USUK
Juri,JP;KR
Kei,JP;KR
Lisa,JP;KR
MINYO CRUSADERS,JP;Latin
Mika,JP;USUK
Miya,JP;KR
ROUND TABLE featuring Nino,JP;Latin
RUANN,JP;KR
Rainy,JP;Latin
Rei,JP;KR
Rie,JP;KR
Rina,JP;KR
Skarf,JP;KR
Sona,JP;KR
TOZ,JP;KR
The Script,JP;USUK
Various Artists,JP;Latin
WOOYOUNG (From 2PM),JP;KR
ZOA,JP;KR
[unknown],JP;KR
harmoe,JP;KR
m-flo loves WHEE SUNG,JP;KR
peptalk,JP;Latin
yunho,JP;KR
カヒミ・カリィ,JP;KR
ソ・イングク,JP;KR
ニコル,JP;KR
佐藤明美,JP;KR
坂本龍一,JP;USUK
妙,JP;EU;KR
宇多田ヒカル,JP;USUK
椎名林檎,JP;USUK
隼人加織,JP;Latin
高橋徹也,JP;Latin
미스티 블루 (Misty Blue),JP;KR
Aarón Díaz,EU;Latin
Ainbusk,EU;USUK
Akiko shikaka,EU;KR
AkikoShikata,EU;KR
Astor Piazzolla,EU;Latin
Beauty Full of Shit,EU;KR
Blackswan,EU;KR
Broken Glass Extet,EU;Latin
Callaghan,EU;Latin
DJ Méndez,EU;Latin
Dj-Echo Producer,EU;Latin
Duo Camejo,EU;Latin
Europe,EU;USUK
L-M-P (Lost Music Planet),EU;KR
La Reina Chula,EU;Latin
Los Skeleteros,EU;Latin
Lost Music Planet,EU;KR
Mara Dagne,EU;Latin
New Trolls,EU;USUK
PalmaCoco,EU;Latin
Peyoti for President,EU;Latin
Shikata,EU;KR
Shit,EU;KR
Simon Dominic,EU;KR
Singsangsong Band,EU;Latin
Stupid,EU;KR
Tomoko Imoto,EU;KR
志方あきこ (Akiko Shikata),EU;KR
Astrud Gilberto,USUK;Latin
Baccara,USUK;Latin
Beyoncé,USUK;Latin
Black,USUK;Latin
Bone Thugs-N-Harmony,USUK;Latin
Broken Social Scene,USUK;KR
Cassie,USUK;KR
Charlie Parker,USUK;Latin
Christina Aguilera,USUK;Latin
Cypress Hill,USUK;Latin
ERNEST,USUK;KR
Emmylou Harris,USUK;Latin
Enrique Iglesias,USUK;Latin
Eros Ramazzotti,USUK;Latin
Gipsy Kings,USUK;Latin
Gloria Estefan,USUK;Latin
Harry Belafonte,USUK;Latin
Jennifer Lopez,USUK;Latin
Jennifer Paige,USUK;Latin
John Lee Hooker,USUK;Latin
Jon Secada,USUK;Latin
Julio Iglesias,USUK;Latin
Kirsty MacColl,USUK;Latin
Kiss,USUK;KR
Miami Sound Machine,USUK;Latin
Miguel Bosé,USUK;Latin
Mink DeVille,USUK;Latin
Mobb Deep,USUK;KR
Natalia Lafourcade,USUK;Latin
Nelly Furtado,USUK;Latin
Pitbull,USUK;Latin
Raffaella Carrà,USUK;Latin
Ray Davies,USUK;Latin
Ricky Martin,USUK;Latin
Ry Cooder,USUK;Latin
Santana,USUK;Latin
Shakira,USUK;Latin
The Tea Party,USUK;KR
The Turtles,USUK;KR
Tool,USUK;KR
Trini Lopez,USUK;Latin
Willy DeVille,USUK;Latin
Леонид Агутин,USUK;Latin
4 AM,KR;Latin
Conch,KR;Latin
Do The,KR;Latin
Gionas,KR;Latin
Kiara,KR;Latin
Los Wachiturros,KR;Latin
MJ,KR;Latin
Nia,KR;Latin
